"Month","Harmonised unemployment rates (%) - monthly data"
"2000-03",9.1
"2000-04",8.8
"2000-05",9.9
"2000-06",10.1
"2000-07",10.3
"2000-08",11.6
"2000-09",11.2
"2000-10",11.0
"2000-11",8.9
"2000-12",9.5
"2001-01",9.7
"2001-02",9.9
"2001-03",9.7
"2001-04",8.9
"2001-05",10.8
"2001-06",10.4
"2001-07",10.9
"2001-08",9.9
"2001-09",10.8
"2001-10",10.4
"2001-11",8.5
"2001-12",8.4
"2002-01",9.8
"2002-02",11.0
"2002-03",10.1
"2002-04",11.1
"2002-05",11.3
"2002-06",10.2
"2002-07",8.5
"2002-08",9.1
"2002-09",10.1
"2002-10",9.1
"2002-11",7.5
"2002-12",7.3
"2003-01",9.4
"2003-02",10.3
"2003-03",11.0
"2003-04",11.6
"2003-05",12.0
"2003-06",11.6
"2003-07",10.8
"2003-08",10.4
"2003-09",10.5
"2003-10",9.7
"2003-11",8.8
"2003-12",9.2
"2004-01",8.3
"2004-02",9.3
"2004-03",9.1
"2004-04",10.7
"2004-05",12.0
"2004-06",11.3
"2004-07",11.4
"2004-08",10.1
"2004-09",11.1
"2004-10",9.6
"2004-11",9.1
"2004-12",9.4
"2005-01",9.7
"2005-02",10.3
"2005-03",10.5
"2005-04",11.9
"2005-05",13.1
"2005-06",11.7
"2005-07",11.9
"2005-08",10.6
"2005-09",11.7
"2005-10",10.4
"2005-11",9.7
"2005-12",8.6
"2006-01",8.2
"2006-02",8.8
"2006-03",9.4
"2006-04",10.4
"2006-05",11.2
"2006-06",9.6
"2006-07",9.3
"2006-08",8.5
"2006-09",7.9
"2006-10",6.8
"2006-11",4.7
"2006-12",7.0
"2007-01",8.0
"2007-02",8.8
"2007-03",8.4
"2007-04",7.9
"2007-05",7.2
"2007-06",6.1
"2007-07",5.7
"2007-08",6.5
"2007-09",6.4
"2007-10",5.8
"2007-11",4.4
"2007-12",4.8
"2008-01",5.2
"2008-02",6.3
"2008-03",6.0
"2008-04",6.4
"2008-05",7.2
"2008-06",6.8
"2008-07",6.6
"2008-08",6.6
"2008-09",7.1
"2008-10",7.4
"2008-11",6.0
"2008-12",6.3
"2009-01",6.6
"2009-02",7.1
"2009-03",7.2
"2009-04",7.9
"2009-05",9.3
"2009-06",8.6
"2009-07",8.7
"2009-08",8.2
"2009-09",8.2
"2009-10",7.4
"2009-11",6.2
"2009-12",7.1
"2010-01",7.0
"2010-02",7.0
"2010-03",6.8
"2010-04",7.7
"2010-05",9.0
"2010-06",8.4
"2010-07",8.3
"2010-08",7.5
"2010-09",8.0
"2010-10",6.8
"2010-11",5.9
"2010-12",6.1
"2011-01",6.4
"2011-02",7.9
"2011-03",7.1
"2011-04",8.4
"2011-05",8.2
"2011-06",8.5
"2011-07",8.2
"2011-08",7.9
"2011-09",8.6
"2011-10",7.5
"2011-11",6.6
"2011-12",5.7
"2012-01",5.0

Harmonised unemployment rates (%) - monthly data

